Block,Total,White,Black,Asian,Hispanic
"Block 1000, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 1003, Block Group 1, Census Tract 9535, Gallia County, Ohio",11,11,0,0,0
"Block 1004, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1005, Block Group 1, Census Tract 9535, Gallia County, Ohio",78,74,1,0,0
"Block 1006, Block Group 1, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 1007, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1009, Block Group 1, Census Tract 9535, Gallia County, Ohio",108,107,0,0,0
"Block 1010, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1011, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1012, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1013, Block Group 1, Census Tract 9535, Gallia County, Ohio",63,56,1,0,0
"Block 1014, Block Group 1, Census Tract 9535, Gallia County, Ohio",29,26,0,0,0
"Block 1015, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1016, Block Group 1, Census Tract 9535, Gallia County, Ohio",30,29,0,0,0
"Block 1017, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1018, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1019, Block Group 1, Census Tract 9535, Gallia County, Ohio",26,26,0,0,0
"Block 1020, Block Group 1, Census Tract 9535, Gallia County, Ohio",19,19,0,0,0
"Block 1021, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1022, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1023, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1024, Block Group 1, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 1025, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1026, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1027, Block Group 1, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 1028, Block Group 1, Census Tract 9535, Gallia County, Ohio",28,28,0,0,0
"Block 1029, Block Group 1, Census Tract 9535, Gallia County, Ohio",17,17,0,0,0
"Block 1030, Block Group 1, Census Tract 9535, Gallia County, Ohio",18,18,0,0,0
"Block 1031, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1032, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1033, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1034, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1035, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1036, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1037, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1038, Block Group 1, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 1039, Block Group 1, Census Tract 9535, Gallia County, Ohio",11,11,0,0,0
"Block 1040, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1041, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1042, Block Group 1, Census Tract 9535, Gallia County, Ohio",8,6,0,0,2
"Block 1043, Block Group 1, Census Tract 9535, Gallia County, Ohio",10,7,0,0,0
"Block 1044, Block Group 1, Census Tract 9535, Gallia County, Ohio",3,2,0,1,0
"Block 1045, Block Group 1, Census Tract 9535, Gallia County, Ohio",41,41,0,0,0
"Block 1046, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1047, Block Group 1, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 1048, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1049, Block Group 1, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 1050, Block Group 1, Census Tract 9535, Gallia County, Ohio",9,9,0,0,0
"Block 1051, Block Group 1, Census Tract 9535, Gallia County, Ohio",15,15,0,0,0
"Block 1052, Block Group 1, Census Tract 9535, Gallia County, Ohio",4,3,0,1,0
"Block 1053, Block Group 1, Census Tract 9535, Gallia County, Ohio",58,51,6,0,0
"Block 1054, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
