,,,,,
County Name,Precinct Name,Precinct Code,Total Voters,Hillary Clinton (D),Donald J. Trump (R)
Total,,,"5,607,641","2,394,164","2,841,005"
Percentage,,,,43.69%,51.84%
Adams,BRATTON TOWNSHIP,AAA,661,96,532
Adams,BRUSH CREEK TOWNSHIP,AAB,514,95,390
Adams,LOCUST GROVE,AAD,522,94,408
Adams,GREEN TOWNSHIP,AAE,259,76,176
Adams,JEFFERSON TOWNSHIP,AAG,351,73,258
Adams,LIBERTY SOUTH,AAI,511,87,394
Adams,MANCHESTER UNITED TOWNSHIP,AAK,643,194,414
Adams,MEIGS TOWNSHIP,AAN,821,131,653
Adams,PEEBLES EAST,AAP,337,80,250
Adams,PEEBLES WEST,AAQ,354,86,243
Adams,MONROE TOWNSHIP,AAR,291,71,206
Adams,OLIVER TOWNSHIP,AAS,445,78,340
Adams,SCOTT TOWNSHIP,AAT,555,86,453
Adams,SEAMAN VILLAGE,AAU,371,66,291
Adams,SPRIGG TOWNSHIP,AAW,789,155,583
Adams,TIFFIN EAST,AAY,545,111,399
Adams,TIFFIN WEST,AAZ,515,106,386
Adams,WEST UNION A,ABA,567,164,350
Adams,WEST UNION B,ABC,528,150,344
Adams,WAYNE TOWNSHIP,ABE,591,75,490
Adams,WINCHESTER TOWNSHIP,ABG,591,99,464
Adams,WINCHESTER VILLAGE,ABH,434,72,345
Adams,LIBERTY NORTH,ABI,388,81,290
Allen,DELPHOS 1A,AAA,540,124,385
Allen,DELPHOS 1B,AAC,478,105,351
Allen,DELPHOS 2A,AAE,512,119,350
Allen,DELPHOS 2B,AAG,226,38,167
Allen,LIMA 1A,AAH,601,260,294
Allen,LIMA 1B,AAJ,568,199,328
Allen,LIMA 1C,AAK,447,202,204
Allen,LIMA 2A,AAO,649,265,333
Allen,LIMA 2B,AAP,704,267,393
Allen,LIMA 2C,AAQ,672,247,385
Allen,LIMA 3A,AAW,469,269,163
Allen,LIMA 3B,AAX,332,199,111
Allen,LIMA 3C,AAY,468,195,245
Allen,LIMA 4A,ABE,705,253,399
Allen,LIMA 4B,ABF,466,261,177
Allen,LIMA 4C,ABH,480,170,283
Allen,LIMA 4D,ABI,697,294,351
Allen,LIMA 5A,ABP,281,159,110
Allen,LIMA 5B,ABQ,291,212,65
Allen,LIMA 5C,ABR,389,316,51
Allen,LIMA 5D,ABT,421,244,149
Allen,LIMA 6A,ABW,533,300,192
Allen,LIMA 6B,ABX,490,306,148
Allen,LIMA 6C,ABZ,486,433,30
Allen,LIMA 7A,ACD,717,318,361
Allen,LIMA 7B,ACE,619,244,324
Allen,LIMA 7C,ACG,703,254,397
Allen,AMANDA E,ACT,778,115,621
Allen,AMANDA N,ACU,405,56,329
Allen,AMERICAN A,ACW,601,100,469
Allen,AMERICAN B,ACX,514,149,328
Allen,AMERICAN C,ACY,505,132,343
Allen,AMERICAN D,ACZ,474,268,187
Allen,AMERICAN E,ADA,440,155,260
Allen,AMERICAN F,ADB,462,146,293
Allen,AMERICAN G,ADC,648,126,487
Allen,AMERICAN H,ADD,629,132,452
Allen,AMERICAN I,ADE,553,100,416
Allen,AMERICAN J,ADF,573,118,421
Allen,AMERICAN K,ADG,500,149,313
Allen,AMERICAN L,ADI,515,175,303
Allen,ELIDA A,ADQ,508,100,378
Allen,ELIDA B,ADR,563,104,428
Allen,AUGLAIZE A,ADT,535,78,434
Allen,HARROD,ADU,190,22,162
Allen,AUGLAIZE B,ADW,693,115,530
Allen,BATH A,ADY,508,92,389
Allen,BATH B,ADZ,594,90,477
Allen,BATH C,AEA,467,66,366
Allen,BATH D,AEB,507,81,396
Allen,BATH E,AEC,360,115,218
Allen,BATH F,AED,499,91,380
Allen,BATH G,AEE,649,176,431
Allen,BATH H,AEF,609,144,430
Allen,BATH I,AEG,444,101,312
Allen,JACKSON A,AEN,826,103,679
Allen,LAFAYETTE,AEO,166,26,131
Allen,JACKSON B,AEQ,763,90,639
Allen,MARION A,AES,757,102,615
Allen,MARION B,AET,738,116,580
Allen,CAIRO,AEW,250,57,181
Allen,MONROE E,AEX,479,45,416
Allen,MONROE W,AEY,427,47,356
Allen,PERRY C,AEZ,624,89,491
Allen,PERRY A,AFB,546,133,365
Allen,PERRY B,AFC,407,130,252
Allen,BEAVERDAM,AFE,147,12,121
Allen,RICHLAND A,AFF,549,114,391
Allen,RICHLAND B,AFG,565,105,427
Allen,BLUFFTON A,AFI,713,277,392
Allen,BLUFFTON B,AFJ,612,244,319
Allen,BLUFFTON C,AFK,608,172,381
Allen,SHAWNEE A,AFN,583,130,418
Allen,SHAWNEE B,AFO,550,149,367
Allen,SHAWNEE C,AFP,449,99,322
Allen,SHAWNEE D,AFQ,548,130,379
Allen,SHAWNEE E,AFR,527,141,356
Allen,SHAWNEE F,AFS,644,177,440
Allen,SHAWNEE G,AFT,623,138,455
Allen,SHAWNEE H,AFU,579,124,400
Allen,SHAWNEE I,AFV,596,114,450
Allen,SHAWNEE J,AGB,660,161,444
Allen,SHAWNEE K,AGC,613,135,430
Allen,SHAWNEE L,AGD,545,105,413
Allen,SPENCER A,AGI,431,58,355
Allen,SPENCERVILLE A,AGK,450,60,351
Allen,SPENCERVILLE B,AGL,426,62,336
Allen,SUGAR CREEK,AGN,667,100,536
Ashland,ASHLAND CITY 1-A,AAA,718,210,467
Ashland,ASHLAND CITY 1-B,AAB,394,141,203
Ashland,ASHLAND CITY 1-C,AAC,439,114,279
Ashland,ASHLAND CITY 1-D,AAD,784,209,531
Ashland,ASHLAND CITY 1-E,AAF,543,109,379
Ashland,ASHLAND CITY 2-A,AAG,696,161,470
Ashland,ASHLAND CITY 2-B,AAH,447,131,263
Ashland,ASHLAND CITY 2-C,AAI,369,111,228
